Type	Chromosome	Start	End	-log10(q-value)	G-score	average amplitude	frequency
Amp	 1	1289585	1289585	0.744936	0.162607	0.985882	0.258824
Amp	 1	1688579	1688579	0.744936	0.162607	0.985882	0.258824
Amp	 1	1961591	1961591	0.744936	0.162607	0.985882	0.258824
Amp	 1	6511984	6511984	0.744936	0.162607	0.985882	0.258824
Amp	 1	7980908	7980908	0.744936	0.162607	0.985882	0.258824
Amp	 1	10511534	10511534	0.744936	0.162607	0.985882	0.258824
Amp	 1	10511534	10511534	0.744936	0.162607	0.985882	0.258824
Amp	 1	10511534	10511534	0.744936	0.162607	0.985882	0.258824
Amp	 1	11134049	11134049	0.744936	0.162607	0.985882	0.258824
Amp	 1	11766656	11766656	0.744936	0.162607	0.985882	0.258824
Amp	 1	11883828	11883828	0.744936	0.162607	0.985882	0.258824
Amp	 1	12476744	12476744	0.744936	0.162607	0.985882	0.258824
Amp	 1	12853576	12853576	0.744936	0.162607	0.985882	0.258824
Amp	 1	16332783	16332783	0.744936	0.162607	0.985882	0.258824
Amp	 1	19503178	19503178	0.744936	0.162607	0.985882	0.258824
Amp	 1	20073053	20073053	0.744936	0.162607	0.985882	0.258824
Amp	 1	20982674	20982674	0.744936	0.162607	0.985882	0.258824
Amp	 1	26142175	26142175	0.744936	0.162607	0.985882	0.258824
Amp	 1	26507249	26507249	0.744936	0.162607	0.985882	0.258824
Amp	 1	26650761	26650761	0.744936	0.162607	0.985882	0.258824
Amp	 1	26751942	26751942	0.744936	0.162607	0.985882	0.258824
Amp	 1	31532115	31532115	0.744936	0.162607	0.985882	0.258824
Amp	 1	32669596	32669596	0.744936	0.162607	0.985882	0.258824
Amp	 1	33059062	33059062	0.744936	0.162607	0.985882	0.258824
Amp	 1	33292014	33292014	0.744936	0.162607	0.985882	0.258824
Amp	 1	36181861	36181861	0.744936	0.162607	0.985882	0.258824
Amp	 1	40923061	40923061	0.744936	0.162607	0.985882	0.258824
Amp	 1	40929182	40929182	0.744936	0.162607	0.985882	0.258824
Amp	 1	43021838	43021838	0.744936	0.162607	0.985882	0.258824
Amp	 1	43162873	43162873	0.744936	0.162607	0.985882	0.258824
Amp	 1	45340494	45340494	0.744936	0.162607	0.985882	0.258824
Amp	 1	46120360	46120360	0.744936	0.162607	0.985882	0.258824
Amp	 1	46500699	46500699	0.744936	0.162607	0.985882	0.258824
Amp	 1	46726936	46726936	0.744936	0.162607	0.985882	0.258824
Amp	 1	53370427	53370427	0.744936	0.162607	0.985882	0.258824
Amp	 1	55509625	55509625	0.744936	0.162607	0.985882	0.258824
Amp	 1	62739514	62739514	0.744936	0.162607	0.985882	0.258824
Amp	 1	65243546	65243546	0.744936	0.162607	0.985882	0.258824
Amp	 1	67303427	67303427	0.744936	0.162607	0.985882	0.258824
Amp	 1	68896996	68896996	0.744936	0.162607	0.985882	0.258824
Amp	 1	74507023	74507023	0.744936	0.162607	0.985882	0.258824
Amp	 1	76199222	76199222	0.744936	0.162607	0.985882	0.258824
Amp	 1	76260244	76260244	0.744936	0.162607	0.985882	0.258824
Amp	 1	79101116	79101116	0.744936	0.162607	0.985882	0.258824
Amp	 1	79116158	79116158	0.744936	0.162607	0.985882	0.258824
Amp	 1	85570244	85570244	0.744936	0.162607	0.985882	0.258824
Amp	 1	86173774	86173774	0.744936	0.162607	0.985882	0.258824
Amp	 1	86334296	86334296	0.744936	0.162607	0.985882	0.258824
Amp	 1	86487957	86487957	0.744936	0.162607	0.985882	0.258824
Amp	 1	86499587	86499587	0.744936	0.162607	0.985882	0.258824
Amp	 1	86951234	86951234	0.744936	0.162607	0.985882	0.258824
Amp	 1	86961284	86961284	0.744936	0.162607	0.985882	0.258824
Amp	 1	89449166	89449166	0.744936	0.162607	0.985882	0.258824
Amp	 1	94548945	94548945	0.744936	0.162607	0.985882	0.258824
Amp	 1	94577102	94577102	0.744936	0.162607	0.985882	0.258824
Amp	 1	97564172	97564172	0.744936	0.162607	0.985882	0.258824
Amp	 1	100327830	100327830	0.744936	0.162607	0.985882	0.258824
Amp	 1	100963661	100963661	0.744936	0.162607	0.985882	0.258824
Amp	 1	108417527	108417527	0.744936	0.162607	0.985882	0.258824
Amp	 1	108681760	108681760	0.744936	0.162607	0.985882	0.258824
Amp	 1	109198244	109198244	0.744936	0.162607	0.985882	0.258824
Amp	 1	109265134	109265134	0.744936	0.162607	0.985882	0.258824
Amp	 1	109359719	109359719	0.744936	0.162607	0.985882	0.258824
Amp	 1	109525239	109525239	0.744936	0.162607	0.985882	0.258824
Amp	 1	110038583	110038583	0.744936	0.162607	0.985882	0.258824
Amp	 1	110741014	110741014	0.744936	0.162607	0.985882	0.258824
Amp	 1	110882134	110882134	0.744936	0.162607	0.985882	0.258824
Amp	 1	110950295	110950295	0.744936	0.162607	0.985882	0.258824
Amp	 1	114512583	114512583	0.744936	0.162607	0.985882	0.258824
Amp	 1	117554430	117554430	0.744936	0.162607	0.985882	0.258824
Amp	 1	118539100	118539100	0.744936	0.162607	0.985882	0.258824
Amp	 1	120436714	120436714	0.744936	0.162607	0.985882	0.258824
Amp	 1	145586596	145586596	0.744936	0.162607	0.985882	0.258824
Amp	 1	145586846	145586846	0.744936	0.162607	0.985882	0.258824
Amp	 1	147230517	147230517	0.744936	0.162607	0.985882	0.258824
Amp	 1	148004567	148004567	0.744936	0.162607	0.985882	0.258824
Amp	 1	149920922	149920922	0.744936	0.162607	0.985882	0.258824
Amp	 1	151107283	151107283	0.744936	0.162607	0.985882	0.258824
