Type	Chromosome	Start	End	-log10(q-value)	G-score	average amplitude	frequency
Amp	 1	865575	865575	0.744936	0.162607	0.985882	0.258824
Amp	 1	874504	874504	0.744936	0.162607	0.985882	0.258824
Amp	 1	878409	878409	0.744936	0.162607	0.985882	0.258824
Amp	 1	886520	886520	0.744936	0.162607	0.985882	0.258824
Amp	 1	897060	897060	0.744936	0.162607	0.985882	0.258824
Amp	 1	970687	970687	0.744936	0.162607	0.985882	0.258824
Amp	 1	981918	981918	0.744936	0.162607	0.985882	0.258824
Amp	 1	1309813	1309813	0.744936	0.162607	0.985882	0.258824
Amp	 1	1849415	1849415	0.744936	0.162607	0.985882	0.258824
Amp	 1	2418636	2418636	0.744936	0.162607	0.985882	0.258824
Amp	 1	3328659	3328659	0.744936	0.162607	0.985882	0.258824
Amp	 1	3697677	3697677	0.744936	0.162607	0.985882	0.258824
Amp	 1	5965433	5965433	0.744936	0.162607	0.985882	0.258824
Amp	 1	6206816	6206816	0.744936	0.162607	0.985882	0.258824
Amp	 1	6530372	6530372	0.744936	0.162607	0.985882	0.258824
Amp	 1	6614303	6614303	0.744936	0.162607	0.985882	0.258824
Amp	 1	6631259	6631259	0.744936	0.162607	0.985882	0.258824
Amp	 1	7887589	7887589	0.744936	0.162607	0.985882	0.258824
Amp	 1	8073790	8073790	0.744936	0.162607	0.985882	0.258824
Amp	 1	8420502	8420502	0.744936	0.162607	0.985882	0.258824
Amp	 1	8421186	8421186	0.744936	0.162607	0.985882	0.258824
Amp	 1	9613782	9613782	0.744936	0.162607	0.985882	0.258824
Amp	 1	11137475	11137475	0.744936	0.162607	0.985882	0.258824
Amp	 1	11147957	11147957	0.744936	0.162607	0.985882	0.258824
Amp	 1	12091351	12091351	0.744936	0.162607	0.985882	0.258824
Amp	 1	12175694	12175694	0.744936	0.162607	0.985882	0.258824
Amp	 1	12393304	12393304	0.744936	0.162607	0.985882	0.258824
Amp	 1	12711227	12711227	0.744936	0.162607	0.985882	0.258824
Amp	 1	12907742	12907742	0.744936	0.162607	0.985882	0.258824
